"Support","R_support","D_support","Opposition","R_opposition","D_opposition","Question_length","yes_proportion","voting_eligable_pop","turnout"
2801,85,9,1720,0,12,565,0.723328758027998,3716000,0.258991657696448
705,2,2,458,0,0,152,0.538143345728076,4200000,0.558672619047619
2733,0,0,1814,5,0,37,0.616079824183574,15645000,0.501729050814957
2555,0,2,1943,0,0,197,0.5816310023302,1498000,0.387894526034713
529,6,0,801,2,2,692,0.331508618080821,7391000,0.482854282235151
2326,3,0,317,0,0,769,0.723537367054654,1379000,0.38713995649021
5797,48,0,11525,1,48,255,0.529968118762499,4421000,0.185034155168514
2326,3,0,317,0,0,769,0.723537367054654,1379000,0.38713995649021
2555,0,2,1943,0,0,197,0.5816310023302,1498000,0.387894526034713
2733,0,0,1814,5,0,37,0.616079824183574,15645000,0.501729050814957
529,6,0,801,2,2,692,0.331508618080821,7391000,0.482854282235151
705,2,2,458,0,0,152,0.538143345728076,4200000,0.558672619047619
5080,1,8,5197,14,1,1366,0.369657640562768,8740000,0.502639931350114
494,3,0,268,0,0,464,0.602960593244185,3716000,0.372983315392896
1795,0,0,1248,0,0,290,0.700869444644159,4200000,0.46362380952381
235,0,0,915,5,0,93,0.657573236336289,15645000,0.500430936401406
870,5,1,121,0,0,459,0.712446269723358,7400000,0.500906621621622
3059,3,21,166,0,0,1214,0.890633216403853,4303000,0.488789681617476
2980,2,0,1391,3,0,176,0.629412426489389,827000,0.591142684401451
2528,0,0,4584,1,2,360,0.212560182680227,2198000,0.248050500454959
1260,7,16,984,0,0,573,0.541492554372391,5921000,0.390105049822665
1079,0,0,1544,0,0,136,0.386069090321093,3242000,0.537932757557063
1045,0,0,1072,0,0,863,0.398959447572775,3878000,0.423318205260444
753,2,1,968,0,0,96,0.741215579371592,18581000,0.105977503901835
870,5,1,121,0,0,459,0.712446269723358,7400000,0.500906621621622
1045,0,0,1072,0,0,863,0.398959447572775,3878000,0.423318205260444
3059,3,21,166,0,0,1214,0.890633216403853,4303000,0.488789681617476
1260,7,16,984,0,0,573,0.541492554372391,5921000,0.390105049822665
494,3,0,268,0,0,464,0.602960593244185,3716000,0.372983315392896
2980,2,0,1391,3,0,176,0.629412426489389,827000,0.591142684401451
235,0,0,915,5,0,93,0.657573236336289,15645000,0.500430936401406
9204,0,51,3767,1,0,79,0.735248054759882,25946000,0.52390769290064
2716,24,27,2411,1,6,233,0.575818612521151,1498000,0.246578771695594
917,3,0,1434,0,6,457,0.561944771968354,5075000,0.437844334975369
3411,5,7,3889,4,0,503,0.53265041547111,4200000,0.625165238095238
705,2,2,458,0,0,152,0.538143345728076,4200000,0.558672619047619
870,5,1,121,0,0,459,0.712446269723358,7400000,0.500906621621622
148,1,0,689,0,1,579,0.62810117289821,827000,0.57980169286578
2450,1,3,2784,1,0,1186,0.536295968519367,556000,0.569037769784173
479,2,0,103,0,0,820,0.459074736186654,2800000,0.411241785714286
1045,0,0,1072,0,0,863,0.398959447572775,3878000,0.423318205260444
580,2,0,769,0,0,194,0.55519591790107,649000,0.485565485362096
870,5,1,121,0,0,459,0.712446269723358,7400000,0.500906621621622
148,1,0,689,0,1,579,0.62810117289821,827000,0.57980169286578
1045,0,0,1072,0,0,863,0.398959447572775,3878000,0.423318205260444
479,2,0,103,0,0,820,0.459074736186654,2800000,0.411241785714286
917,3,0,1434,0,6,457,0.561944771968354,5075000,0.437844334975369
705,2,2,458,0,0,152,0.538143345728076,4200000,0.558672619047619
492,1,0,896,0,0,315,0.77010693715092,3716000,0.536692411194833
1785,52,0,322,0,1,390,0.794694099532102,2195000,0.397065148063781
1372,0,31,220,0,0,229,0.677674819699261,4303000,0.499365791308389
686,4,0,1079,0,2,129,0.554850608052197,7391000,0.499675821945609
1785,52,0,322,0,1,390,0.794694099532102,2195000,0.397065148063781
1372,0,31,220,0,0,229,0.677674819699261,4303000,0.499365791308389
686,4,0,1079,0,2,129,0.554850608052197,7391000,0.499675821945609
